timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
11352,,,,,0.08788902778508025,1897159.73868394,1.0,0.9999999835286204,4,,500000.0,True,
11352,,,,,0.08930026468978174,628643.1302062325,1.0,0.9999999612070409,0,,500000.0,True,
11496,,,,,0.08908901314572128,818716.5280130946,1.0,0.9999999997473981,0,,500000.0,True,
11696,,,,,0.0891645984776784,750286.8559306369,1.0,1.0,0,,500000.0,True,
11696,,,,,0.08908729313984727,819977.8938188729,1.0,0.9999999961972846,0,,500000.0,True,
11696,,,,,0.08726851977251054,2453534.0752639053,1.0,0.9999999958039237,2,,500000.0,True,
11696,,,,,0.08922191403333402,699485.4820011378,1.0,0.9999999817939599,0,,500000.0,True,
11696,,,,,0.08687910905178736,2805626.9156538937,1.0,1.0,4,,500000.0,True,
11696,,,,,0.08653543395540546,3113653.50021769,1.0,0.9999999944208072,4,,500000.0,True,
11696,,,,,0.08854120872946555,1310581.3252602494,1.0,0.9999999922646405,1,,500000.0,True,
11856,,,,,0.08915318466078195,761044.6805838953,1.0,0.9999999988575428,0,,500000.0,True,
12040,,,,,0.0885624450853739,1291089.8444927866,1.0,0.9999999909648412,1,,500000.0,True,
12040,,,,,0.08904250758160454,860213.3786174479,1.0,0.9999999981617129,0,,500000.0,True,
12040,,,,,0.08866062013705434,1203088.211560356,1.0,0.9999999475731404,2,,500000.0,True,
12040,,,,,0.08924748729366515,676495.8911729342,1.0,1.0,0,,500000.0,True,
12040,,,,,0.08728455335556129,2441139.4898718074,1.0,0.9999999989949849,3,,500000.0,True,
12040,,,,,0.08809302142250937,1713827.827172934,1.0,0.9999999836594731,2,,500000.0,True,
12040,,,,,0.08861634997711242,1243073.8683615243,1.0,0.9999999708064834,2,,500000.0,True,
12216,,,,,0.08909128223948125,816677.1072787491,1.0,0.9999999911422137,0,,500000.0,True,
12384,,,,,0.08913697426551437,775096.57563334,1.0,0.9999999996212048,1,,500000.0,True,
12384,,,,,0.08907752989715466,828748.890188167,1.0,0.9999999781912882,0,,500000.0,True,
12384,,,,,0.08855651001949748,1296605.160967323,1.0,0.9999999877068133,1,,500000.0,True,
12384,,,,,0.08800985312176836,1789106.9671650892,1.0,0.9999999659886787,3,,500000.0,True,
12384,,,,,0.0891994741118069,719194.0654075656,1.0,0.9999999860260104,0,,500000.0,True,
