timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
23800,0.6509501,0.0034519085,-0.4082325122319162,0.02333984375,0.65095006047472,0,11069060.002008975,2046.0400985717765,0.05489143285236234,4799.20372365351,True,0.3980803185105386,0.2528697419641814,0.0,79,0
23900,0.6470775,0.0034519085,-0.4082325122319162,0.02333984375,0.6470775137583062,0,6905482.1779612005,2213.6326965332023,0.056145116178361175,4829.388223186358,True,0.3980682447107255,0.2490092690475808,0.0,79,0
24000,0.6715577,0.0034519085,-0.4082325122319162,0.02333984375,0.6715577240393789,0,1945993.3967182143,1155.1807388305665,0.050945984172766516,4582.108158095742,True,0.39816715673676173,0.2733905673026172,0.0,79,0
24100,0.09981237,0.0034519085,-0.4082325122319162,0.02333984375,0.09981237057104651,0,-855159.962265985,0.0,1.0,4690.735723837745,True,0.39812370571046496,0.3,0.3,79,0
24150,0.0,0.0034519085,-0.4082325122319162,0.02333984375,0.0,0,-1004462.7053234985,0.0,1.0,4848.071023881174,True,0.39806077159044756,0.3,0.3,79,0
24200,0.8389779,0.0034519085,-0.4082325122319162,0.02333984375,0.83897785192964,0,16218137.666615779,141.4951784133911,0.5093325155679816,4509.686668583619,True,0.39819612533256654,0.29698256567033166,0.14379916092674183,79,0
24300,0.9981374,0.0034519085,-0.4082325122319162,0.02333984375,0.9981374255819209,0,9485644.020225989,0.0,1.0,4656.436045197942,True,0.39813742558192083,0.3,0.3,79,0
24400,0.99811107,0.0034519085,-0.4082325122319162,0.02333984375,0.9981110679850025,0,6217890.362186764,0.0,1.0,4722.330037493817,True,0.3981110679850025,0.3,0.3,79,0
24500,0.9980595,0.0034519085,-0.4082325122319162,0.02333984375,0.99805951997918,0,469597.93529484153,0.0,1.0,4851.200052050094,True,0.39805951997918,0.3,0.3,79,0
24600,0.09980542,0.0011745403,-0.3857498956844211,0.00380859375,0.09980542347440412,0,-994461.7483965355,0.0,1.0,4864.413139897546,True,0.398054234744041,0.3,0.3,79,0
24602,0.0,0.0011745403,-0.3857498956844211,0.00380859375,0.0,0,-1004190.5746763306,0.0,1.0,4864.413139897546,True,0.398054234744041,0.3,0.3,79,0
24700,0.86079377,0.0011745403,-0.3857498956844211,0.00380859375,0.8607937589707562,0,8318969.627341846,83.284849588871,0.5741175576393653,4784.269162717321,True,0.3980862923349131,0.2980476000843331,0.16465986655151,79,0
